행정구역,2024년01월_계_총인구수,2024년01월_계_연령구간인구수,2024년01월_계_0~9세,2024년01월_계_10~19세,2024년01월_계_20~29세,2024년01월_계_30~39세,2024년01월_계_40~49세,2024년01월_계_50~59세,2024년01월_계_60~69세,2024년01월_계_70~79세,2024년01월_계_80~89세,2024년01월_계_90~99세,2024년01월_계_100세 이상,2024년01월_남_총인구수,2024년01월_남_연령구간인구수,2024년01월_남_0~9세,2024년01월_남_10~19세,2024년01월_남_20~29세,2024년01월_남_30~39세,2024년01월_남_40~49세,2024년01월_남_50~59세,2024년01월_남_60~69세,2024년01월_남_70~79세,2024년01월_남_80~89세,2024년01월_남_90~99세,2024년01월_남_100세 이상,2024년01월_여_총인구수,2024년01월_여_연령구간인구수,2024년01월_여_0~9세,2024년01월_여_10~19세,2024년01월_여_20~29세,2024년01월_여_30~39세,2024년01월_여_40~49세,2024년01월_여_50~59세,2024년01월_여_60~69세,2024년01월_여_70~79세,2024년01월_여_80~89세,2024년01월_여_90~99세,2024년01월_여_100세 이상
전북특별자치도 남원시 대산면(5219037000),"1,564","1,564",59,75,71,69,125,241,398,241,238,45,2,798,798,35,48,42,45,74,141,212,120,75,6,0,766,766,24,27,29,24,51,100,186,121,163,39,2
전북특별자치도 남원시 사매면(5219038000),"1,463","1,463",41,87,72,74,91,236,310,243,267,39,3,750,750,25,50,41,38,48,145,183,129,82,8,1,713,713,16,37,31,36,43,91,127,114,185,31,2
전북특별자치도 남원시 덕과면(5219039000),910,910,19,29,50,40,65,160,210,185,135,17,0,466,466,12,18,31,23,43,98,113,85,37,6,0,444,444,7,11,19,17,22,62,97,100,98,11,0
전북특별자치도 남원시 보절면(5219040000),"1,360","1,360",28,54,61,41,89,231,284,245,287,39,1,703,703,16,29,43,25,57,142,154,121,104,11,1,657,657,12,25,18,16,32,89,130,124,183,28,0
전북특별자치도 남원시 산동면(5219041000),"1,670","1,670",31,81,78,54,129,279,385,302,290,41,0,840,840,14,47,53,31,79,155,219,136,95,11,0,830,830,17,34,25,23,50,124,166,166,195,30,0
전북특별자치도 남원시 이백면(5219042000),"2,164","2,164",63,132,144,103,168,376,502,330,279,64,3,"1,065","1,065",32,69,86,57,88,208,270,164,82,8,1,"1,099","1,099",31,63,58,46,80,168,232,166,197,56,2
전북특별자치도 남원시 아영면(5219045000),"1,834","1,834",65,97,86,74,159,302,419,343,251,36,2,920,920,41,53,47,39,100,176,221,153,80,10,0,914,914,24,44,39,35,59,126,198,190,171,26,2
전북특별자치도 남원시 산내면(5219046000),"2,033","2,033",51,153,110,87,187,485,458,267,210,25,0,996,996,22,82,62,48,77,266,248,125,63,3,0,"1,037","1,037",29,71,48,39,110,219,210,142,147,22,0
전북특별자치도 남원시 인월면(5219047000),"2,736","2,736",109,195,150,137,287,470,621,453,266,47,1,"1,340","1,340",52,116,93,73,147,259,296,206,87,11,0,"1,396","1,396",57,79,57,64,140,211,325,247,179,36,1
전북특별자치도 남원시 동충동(5219051000),"3,076","3,076",108,268,298,219,348,589,543,404,256,43,0,"1,473","1,473",50,141,174,114,176,298,249,171,94,6,0,"1,603","1,603",58,127,124,105,172,291,294,233,162,37,0
전북특별자치도 남원시 죽항동(5219052000),"3,028","3,028",133,200,282,242,330,559,541,442,258,41,0,"1,432","1,432",69,97,150,130,162,295,246,179,95,9,0,"1,596","1,596",64,103,132,112,168,264,295,263,163,32,0
전북특별자치도 남원시 노암동(5219054000),"5,995","5,995",519,542,576,621,887,"1,024",912,564,318,32,0,"2,916","2,916",268,274,320,316,430,516,452,228,104,8,0,"3,079","3,079",251,268,256,305,457,508,460,336,214,24,0
전북특별자치도 남원시 금동(5219055000),"6,205","6,205",381,706,536,510,887,"1,037","1,016",691,395,45,1,"2,972","2,972",213,342,284,247,455,525,468,295,134,9,0,"3,233","3,233",168,364,252,263,432,512,548,396,261,36,1
전북특별자치도 남원시 왕정동(5219056000),"4,982","4,982",277,451,484,504,661,861,807,571,322,41,3,"2,421","2,421",144,239,269,282,310,435,370,258,106,8,0,"2,561","2,561",133,212,215,222,351,426,437,313,216,33,3
전북특별자치도 남원시 향교동(5219057000),"6,641","6,641",306,520,615,550,851,"1,218","1,211",791,491,85,3,"3,364","3,364",150,273,339,285,440,679,611,386,181,19,1,"3,277","3,277",156,247,276,265,411,539,600,405,310,66,2
전북특별자치도 남원시 도통동(5219059000),"16,561","16,561","1,213","2,292","1,929","1,605","2,672","3,094","2,136","1,015",529,73,3,"8,068","8,068",635,"1,175","1,055",777,"1,207","1,530","1,027",476,170,16,0,"8,493","8,493",578,"1,117",874,828,"1,465","1,564","1,109",539,359,57,3
전북특별자치도 김제시 (5221000000),"81,376","81,376","3,599","5,812","6,888","6,288","9,134","13,359","16,015","10,935","7,789","1,511",46,"40,629","40,629","1,846","3,010","3,887","3,304","5,052","7,472","8,209","4,976","2,545",321,7,"40,747","40,747","1,753","2,802","3,001","2,984","4,082","5,887","7,806","5,959","5,244","1,190",39
전북특별자치도 김제시 만경읍(5221025000),"2,609","2,609",56,117,161,135,226,407,677,418,340,71,1,"1,317","1,317",28,67,94,81,139,232,345,213,108,9,1,"1,292","1,292",28,50,67,54,87,175,332,205,232,62,0
전북특별자치도 김제시 죽산면(5221032000),"2,369","2,369",47,85,105,125,184,332,597,460,346,86,2,"1,166","1,166",19,51,69,69,110,206,298,226,101,17,0,"1,203","1,203",28,34,36,56,74,126,299,234,245,69,2
전북특별자치도 김제시 백산면(5221033000),"3,145","3,145",122,164,254,286,365,519,602,482,304,45,2,"1,654","1,654",59,87,143,168,225,308,325,229,102,8,0,"1,491","1,491",63,77,111,118,140,211,277,253,202,37,2
전북특별자치도 김제시 용지면(5221034000),"3,355","3,355",79,129,218,201,268,494,805,618,434,105,4,"1,733","1,733",46,71,117,117,190,303,426,297,145,21,0,"1,622","1,622",33,58,101,84,78,191,379,321,289,84,4
전북특별자치도 김제시 백구면(5221035000),"3,652","3,652",108,171,225,219,348,608,850,612,431,80,0,"1,815","1,815",58,79,123,127,213,343,447,277,129,19,0,"1,837","1,837",50,92,102,92,135,265,403,335,302,61,0
전북특별자치도 김제시 부량면(5221036000),"1,297","1,297",34,65,71,74,112,178,299,227,193,44,0,639,639,21,33,46,44,71,104,156,97,57,10,0,658,658,13,32,25,30,41,74,143,130,136,34,0
전북특별자치도 김제시 공덕면(5221038000),"2,456","2,456",58,106,181,139,203,395,608,388,306,68,4,"1,273","1,273",24,55,103,76,131,236,334,201,93,19,1,"1,183","1,183",34,51,78,63,72,159,274,187,213,49,3
전북특별자치도 김제시 청하면(5221039000),"1,676","1,676",42,60,78,90,123,253,400,320,254,54,2,847,847,20,34,47,54,74,154,205,155,91,12,1,829,829,22,26,31,36,49,99,195,165,163,42,1
전북특별자치도 김제시 성덕면(5221040000),"1,704","1,704",43,60,95,75,143,268,409,316,232,63,0,871,871,23,29,61,42,96,173,219,142,76,10,0,833,833,20,31,34,33,47,95,190,174,156,53,0
전북특별자치도 김제시 진봉면(5221041000),"2,460","2,460",32,61,110,109,195,366,582,503,413,87,2,"1,188","1,188",17,28,69,58,119,232,304,215,125,21,0,"1,272","1,272",15,33,41,51,76,134,278,288,288,66,2
전북특별자치도 김제시 금구면(5221042000),"4,910","4,910",168,258,374,306,474,900,"1,126",723,489,89,3,"2,494","2,494",86,139,210,164,279,513,591,326,169,17,0,"2,416","2,416",82,119,164,142,195,387,535,397,320,72,3
